compound,n_lines,r2_lineage,r2_nonsyn,r2_expression,r2_expr_lineage,r2_cnv,r2_expr_on_cnv_lines,r2_cnv_expr,n_lines_cnv,r2_protein,n_lines_rppa
tivozanib,723,0.05365720142241359,0.015998038846737228,0.1106705188514866,0.11398733545459339,-0.00892416790676509,0.08691975147738218,0.06158553821669843,721,0.05507431996257128,654
vorinostat,723,0.06276594506220967,-0.00473891328895637,0.10778281044543803,0.1087809038499481,0.016914472139749503,0.10996485928624478,0.07791033615991816,721,0.050819918821673915,654
cobimetinib,722,0.15132544388525404,0.020821094256691652,0.30295646412214094,0.30433009025174385,0.02275748852654802,0.31407667775792447,0.2829375940346771,720,0.2317321297932884,653
dovitinib,722,0.11081775262606297,-0.00013818532015319462,0.116553905124119,0.11840253998844574,0.05325006786957209,0.11822265429506518,0.09016289018518475,720,0.06966552829456563,653
irinotecan,722,0.030272025652192558,0.006175398903523144,0.1376014594165227,0.13797653317310676,0.004804783838211479,0.14391785765847154,0.13074169259587987,720,0.07195626357548235,653
ispinesib,722,-0.003646444696538298,0.015943402556000463,0.10139745773816555,0.10097188382759414,0.011922812577157882,0.0993550887684641,0.08586071330887068,720,0.0775448451825278,653
ribociclib,722,0.024050456839212475,0.008536876517997616,0.09520724716966567,0.09455245718830141,0.00257472814115256,0.08530336369588998,0.054509414632501474,720,0.055417575565048116,653
tasisulam,722,0.01615516479680079,0.004484242167588803,0.06938000055109861,0.06966485284150492,-0.011940174265626657,0.049181819376066804,0.02228394150106061,720,0.03587083053161477,653
venetoclax,722,0.04629651134050328,0.02706769554064492,0.12531856838085553,0.12618930880469492,0.00776936631420333,0.10830818081952542,0.09755470728622695,720,0.08774576297252634,653
AT13387,721,-0.010061954971643194,0.0015842735208848602,0.14170127493663343,0.1390895663571633,-0.0062726190244830615,0.1350539603279438,0.0993591153438067,719,0.11546942620860456,652
AVL-292,721,0.0067030176567052235,-0.023718228388140528,0.013838138849954329,0.014338403716293024,-0.011398451318338942,0.02879502074108975,0.01107691708411862,719,0.010741936262117724,652
