drug,cdi,moa,n_targets,target_mut_freq,target_expr_var,target_expr_mean
Valdecoxib,0.1361941124649926,,1,0.0,0.2178087595470829,4.099292348684719
Abemaciclib,0.1360372850749615,,2,0.0,0.02741121626705732,4.370362146031274
Pravastatin (sodium),0.135872015715935,,1,0.0,0.012818975997633065,4.3281645810423415
Bicalutamide,0.1355611791344994,,1,0.0,0.5438319965359807,3.288932643961204
Pimozide,0.1337983991879498,,2,0.0,0.4150532193573156,1.9187132435733734
Minodronic acid,0.1331101620099003,,2,0.0,0.19232002574977025,0.5223643561331109
NG25,0.1325912829870606,,12,0.006666666666666667,0.03903511617586088,4.3628407384716725
Penfluridol,0.1307516989081729,,1,0.0,0.5503783641662904,2.1744606721006594
Lonafarnib,0.1306638606837898,,3,0.22,0.03137028239180552,4.149317725524972
OTS514,0.1305689197650432,,1,0.0,0.06496352535801385,4.23354226905345
Tirabrutinib,0.130466073804639,,1,0.0,0.328902560719064,1.601383671430675
Doxycycline (monohydrate),0.1299665203417288,,5,0.0,0.5197759088713672,2.4982648039555677
AZD2858,0.1294326264228,,2,0.0,0.008151101292409134,4.3857910035511045
Infigratinib,0.1293099927214034,,4,0.02,0.4008310039439169,3.5359075298986733
Dabrafenib,0.1274204391809671,,2,0.11,0.008707416316716628,4.606277423948425
Imiquimod (hydrochloride),0.1266616457052423,,1,0.0,0.19898965943182786,0.7296653071064622
Auranofin,0.126204937124234,,2,0.0,0.030623510811152645,4.351336439125226
olaparib,0.1243093119265331,,2,0.0,0.015370911685586788,4.266040391333657
Fingolimod (hydrochloride),0.1236803878819653,,1,0.0,0.016640928519733166,4.462588596195499
Procainamide (hydrochloride),0.1234006332725025,,1,0.0,0.010723194807914007,4.430198102302131
Sapanisertib,0.1220094928806537,,1,0.04,0.009394665625205188,4.306759566709168
Niclosamide (olamine),0.1218338242488623,,1,0.0,0.011017243421085525,4.6793727708925195
Pralsetinib,0.1149747008776627,,1,0.0,0.7594569411747445,2.3573434667550703
Methotrexate,0.1149692602371743,,1,0.0,0.0032197503390806303,4.346988212980816
ML264,0.1144545055279829,,1,0.0,0.08327445208062441,4.4436390125456855
Cinacalcet,0.1142739080121488,,1,0.0,0.2572864968288027,1.3255976284401327
Gefitinib,0.1136990834197994,,1,0.08,0.03938794441741245,4.73702816613291
Ataluren,0.112831896737702,,1,0.0,0.1967698467136777,3.083818502896089
Pemetrexed,0.1128235356542352,,3,0.0,0.015975635405219065,4.325726956729986
Regorafenib,0.1126208235717461,,9,0.024444444444444446,0.5300790901293839,2.846163849911145
Hydroxyurea,0.1125889133917795,,2,0.0,0.017885406929042304,4.407770457887032
Irinotecan (hydrochloride),0.1111744478533691,,1,0.0,0.010973134824705163,4.7410385367501195
Rosiglitazone,0.1108793572116209,,3,0.0,0.13820479339143,3.3783922921743694
BAY1125976,0.1089422367311571,,3,0.006666666666666667,0.04578547971092898,4.279567250466568
Canagliflozin (hemihydrate),0.1082300530857467,,1,0.0,0.2046039456488662,2.0944501766153136
Ferulic acid,0.1062320400174005,,2,0.02,0.07812842819114135,4.1867159149683015
Decitabine,0.1059561635489986,,3,0.0,0.05438524952888344,4.1512005680848585
Meloxicam,0.1054029065680787,,2,0.0,0.31638818919110934,3.6003058728616613
Mifepristone,0.1052924472393017,,2,0.0,0.27298428084054904,3.3261910625940585
Bosentan (hydrate),0.1050191208192507,,2,0.0,0.7044828817813176,2.410371618113935
Ipatasertib,0.1035605293348992,,3,0.006666666666666667,0.04578547971092898,4.279567250466568
Silodosin,0.1028798129399116,,3,0.0,0.40961037203323114,2.1851414929826474
Mozavaptan,0.1021763086948097,,1,0.0,0.39969848785215384,0.7470757609241234
Bestatin,0.1011581993450286,,1,0.0,0.48570288041605536,3.187575685381505
Fluvoxamine,0.0999297657512402,,1,0.0,0.20638346030196672,2.2050754502666288
Fenofibrate,0.0987193295706988,,6,0.0,0.32713521868699985,1.6361460185118215
Dapagliflozin,0.0967923306862563,,1,0.0,0.2046039456488662,2.0944501766153136
Arbutin,0.0943973154179459,,2,0.06,0.077671497565171,4.142659356523842
Belzutifan,0.0937571495310996,,1,0.0,0.06723154515744736,4.505188146797125
Dorzolamide (hydrochloride),0.0922800426666024,,1,0.0,0.4290456341690607,3.3119377098568368
Abiraterone acetate,0.0922569571136547,,1,0.0,0.16288489639298206,0.37729263120307527
ERK5-IN-2,0.0919013405946721,,1,0.0,0.07944309643099531,3.7167632523580845
Bisoprolol (hemifumarate),0.0909192541381774,,1,0.0,0.7475671505913941,1.7520491227321855
Filgotinib,0.0904412441571825,,4,0.01,0.14259715578147789,4.081150261371148
Monocrotaline,0.0901571721570641,,2,0.0,0.13880783626311846,2.7743371210848378
Dimethyl fumarate,0.089130977005708,,1,0.0,0.008200207334555272,4.702116287855926
Epirubicin (hydrochloride),0.0872067619033842,,1,0.0,0.01027853855499154,4.694148901372842
Finasteride,0.0846895313580368,,1,0.0,0.23947448559829151,1.1683473142431762
Cilostazol,0.0845488420976071,,1,0.0,0.12420851575486383,4.047395886742112
Canagliflozin,0.0836186383247754,,1,0.0,0.2046039456488662,2.0944501766153136
Futibatinib,0.0832468866180938,,4,0.02,0.4008310039439169,3.5359075298986733
Sacubitril/Valsartan,0.0831479846349529,,1,0.0,0.8155141542865211,2.2070331325252313
"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",0.0821648691124334,,1,0.0,0.2046039456488662,2.0944501766153136
Encorafenib,0.0814898478319548,,1,0.18,0.00673003945323886,4.718053959585722
Mebendazole,0.0807860073520777,,10,0.0,0.19541829607944255,3.764180838143699
9-ING-41,0.0801693481362126,,1,0.0,0.008335498904855269,4.743372678025991
Sulfatinib,0.0774375574268794,,5,0.0,0.602712230859534,2.7079911966052377
Perindopril (erbumine),0.0766527514322226,,2,0.0,0.32749073715236904,3.532479247912089
Diphenhydramine,0.0761179649804699,,1,0.0,0.07300881196748357,4.421634184958427
Erlotinib,0.0760954252827054,,1,0.08,0.03938794441741245,4.73702816613291
Tadalafil,0.0742927332139843,,1,0.0,0.05862154417226777,4.017748400845158
Doxorubicin (hydrochloride),0.074029355995608,,3,0.0,0.010616074089180748,4.663474180521438
Apalutamide,0.0718394825198411,,1,0.0,0.5438319965359807,3.288932643961204
Verapamil,0.0716070472424185,,2,0.0,0.2097516433898122,2.1470597138635603
PH-797804,0.0710831283340471,,1,0.0,0.008941674570847198,4.524303371576116
Benproperine (phosphate),0.0701037482555179,,1,0.0,0.008967747967585489,4.722272317514978
Esmolol (hydrochloride),0.0667009871318223,,1,0.0,0.7475671505913941,1.7520491227321855
Rucaparib (phosphate),0.0662235060153829,,3,0.0,0.046793581845154,3.974971869953975
crizotinib,0.0647992166667362,,3,0.02,0.308895439047651,3.4883121120236145
Erdafitinib,0.0621735594669293,,4,0.02,0.4008310039439169,3.5359075298986733
Brimonidine,0.0595489280061607,,3,0.0,0.6725336154425188,1.3970246094813896
Eplerenone,0.0548046134381181,,1,0.0,0.13549314539444365,3.9447097125293316
Tranilast,0.054659453904639,,2,0.0,0.26252449637520137,3.607528758050961
Levobupivacaine (hydrochloride),0.0535385583177348,,1,0.0,0.3120960251371068,3.2630903592888605
(S)-Crizotinib,0.0533045544722586,,1,0.0,0.5577555581636172,3.448915269807711
Tolmetin,0.0459309763972794,,2,0.0,0.31638818919110934,3.6003058728616613
Sildenafil,0.0379410860982641,,1,0.0,0.05862154417226777,4.017748400845158
Methylprednisolone succinate,0.0351677526774303,,1,0.0,0.0948668203865954,4.5468175314673065
Quinidine (15% dihydroquinidine),0.0350436575656117,,1,0.0,1.1225333131013726,2.2468284833073957
Sonidegib,0.0336282626525684,,1,0.0,0.4966865916387033,3.2329304604706453
Hydroxyfasudil,0.0318669647259862,,3,0.0,0.015672471140627205,4.442874294070656
Macitentan,0.0293224627614416,,2,0.0,0.7044828817813176,2.410371618113935
Sivelestat (sodium tetrahydrate),0.0244969405848459,,1,0.0,1.015619656829656,1.5985912550679806
Ralimetinib dimesylate,0.0170402576674933,,3,0.0,0.15427241412850282,3.9531651388648332
PF-06260933,0.0122449724642271,,1,0.0,0.020928664317105366,4.737115902568887
