n_ctx,n_pert,n_rep,pairs_per_cond,n_pairs,mean_share,se,n_draws,permuted
80,10,3,3,2400,0.3548908922807932,0.08741790308197481,40,False
80,25,2,1,2000,0.3587590441636828,0.050163732964282344,40,False
80,25,3,3,6000,0.3950341579233192,0.05460657204611724,40,False
80,50,2,1,4000,0.3625584085197683,0.03298292830608206,40,False
80,50,3,3,12000,0.3858756574838362,0.02763535805677581,40,False
80,100,2,1,8000,0.3637693193240724,0.020060631729827343,40,False
80,100,3,3,24000,0.3914343533553274,0.024612714878393276,40,False
80,200,2,1,16000,0.3657798312478799,0.0183761335986878,40,False
80,200,3,3,48000,0.3939728010127524,0.015032827133911719,40,False
80,400,2,1,32000,0.3646638633657817,0.012694525102860033,40,False
80,400,3,3,96000,0.3934575641395,0.013127634201167667,40,False
160,10,2,1,1600,0.35609601943919217,0.08208556318225906,40,False
160,10,3,3,4800,0.3802617721356968,0.07948751421622455,40,False
160,25,2,1,4000,0.3617329814555949,0.04679161826293001,40,False
160,25,3,3,12000,0.3964354618906218,0.05579984002341315,40,False
160,50,2,1,8000,0.3631530920883293,0.04252232362316217,40,False
160,50,3,3,24000,0.3951431496881891,0.02526375432085207,40,False
160,100,2,1,16000,0.3680926568810232,0.02383374180442222,40,False
160,100,3,3,48000,0.39033839825428646,0.02654166943963525,40,False
160,200,2,1,32000,0.36596603484400136,0.01611676893669406,40,False
160,200,3,3,96000,0.39699593286606244,0.01408686244884522,40,False
160,400,2,1,64000,0.3615905198832302,0.011924729911474152,40,False
160,400,3,3,192000,0.3954446346042793,0.008610004234826064,40,False
5,10,2,1,50,0.1798077728907998,0.15931658871313412,20,True
5,10,3,3,150,0.15774891474201164,0.14909765741152728,20,True
5,25,2,1,125,0.21633737751353194,0.1454978860757296,20,True
5,25,3,3,375,0.22831364519705916,0.13323962028545935,20,True
5,50,2,1,250,0.2026600077964321,0.15834273975966429,20,True
5,50,3,3,750,0.21107047669477375,0.10370525132612295,20,True
5,100,2,1,500,0.18063468790365356,0.13577531395316958,19,True
5,100,3,3,1500,0.16708605338684085,0.101180759968517,20,True
5,200,2,1,1000,0.18170883103173913,0.14699188183259176,20,True
5,200,3,3,3000,0.22321520439909587,0.09851941024078077,20,True
5,400,2,1,2000,0.17927115303075086,0.1459042170791246,20,True
5,400,3,3,6000,0.1963455742261064,0.10624735175267655,20,True
10,10,2,1,100,0.151543143523627,0.193344119108504,20,True
10,10,3,3,300,0.13573589804560268,0.10416162700424438,20,True
10,25,2,1,250,0.13301832536347852,0.10205818286758166,20,True
10,25,3,3,750,0.12485166294681105,0.09885429029684126,20,True
10,50,2,1,500,0.12015129428227164,0.09765893752961016,20,True
10,50,3,3,1500,0.10074118337787605,0.07960063398675675,20,True
10,100,2,1,1000,0.1146259933828824,0.08759949440681655,20,True
10,100,3,3,3000,0.1302472855917785,0.07615085676966656,20,True
10,200,2,1,2000,0.15196873841997988,0.10346211304042707,20,True
10,200,3,3,6000,0.08954167414578539,0.05806263437238044,20,True
10,400,2,1,4000,0.10514501964644993,0.07465597260869972,20,True
10,400,3,3,12000,0.09098240861412603,0.07578720009155435,20,True
