gene,component,n_mut,n_wt,effect,p,q
LATS1,C1,181,8511,0.08956760168075562,2.300510896786742e-06,0.0016959683642959694
ARHGEF1,C1,105,8587,0.10463938117027283,2.3354016685442066e-06,0.0017098979230185036
PCDH10,C1,353,8339,0.06750322878360748,2.383653767551303e-06,0.0017333541029671026
PCDH8,C2,141,8551,0.07047469913959503,2.4130188712491784e-06,0.0017428517923044067
DIAPH3,C1,172,8520,0.07240740582346916,2.432752134923687e-06,0.0017453118940590768
AFF2,C1,330,8362,0.06354015413671732,2.564339658601244e-06,0.001825555386870953
TRPA1,C1,294,8398,0.07905736286193132,2.5787575158800506e-06,0.001825555386870953
ZMYM5,C1,79,8613,0.1464589536190033,2.6071815359985064e-06,0.00183353472021116
NLRC5,C1,238,8454,0.08097609132528305,2.6441115939832696e-06,0.0018473526336629776
PNPLA7,C1,171,8521,0.08929167687892914,2.678652767845499e-06,0.0018593328978676136
RYR2,C10,1130,7562,0.05282182991504669,2.7772957291156587e-06,0.0019153664790938546
DNAH11,C1,630,8062,0.055072080343961716,2.800228435286001e-06,0.0019188026847328998
UBR5,C2,312,8380,0.037884701043367386,2.8898096616835175e-06,0.00195771076850312
VHL,C5,199,8493,-0.07256388664245605,2.8936377546727005e-06,0.00195771076850312
DOCK1,C1,207,8485,0.0757473036646843,2.926751737978389e-06,0.0019676607156159614
ATP11A,C1,149,8543,0.10042174160480499,2.969241838389099e-06,0.001983750472227757
HUWE1,C1,480,8212,0.04418374877423048,3.0157593638700338e-06,0.0019967569983314845
EGFR,C10,311,8381,0.09236495196819305,3.039008558810016e-06,0.0019967569983314845
POLQ,C1,348,8344,0.07863824721425772,3.0447480797039363e-06,0.0019967569983314845
ELTD1,C1,231,8461,0.07651135325431824,3.133010142056639e-06,0.0020266024198382104
BRSK1,C1,113,8579,0.11109252274036407,3.152645043989663e-06,0.0020266024198382104
BTBD11,C1,190,8502,0.09635995700955391,3.158595396468042e-06,0.0020266024198382104
ZBTB20,C1,208,8484,0.0734163261950016,3.174467988177536e-06,0.0020266024198382104
PUM2,C1,125,8567,0.10463938117027283,3.1850509516990286e-06,0.0020266024198382104
DMD,C1,625,8067,0.055566735565662384,3.230464839459038e-06,0.0020433359140758184
USH2A,C1,967,7725,0.05720300227403641,3.2855601613213894e-06,0.0020659602294388897
SHROOM2,C1,196,8496,0.08086400106549263,3.401491702022388e-06,0.0021092977335906583
SMARCA1,C1,178,8514,0.09806813299655914,3.4066996848633316e-06,0.0021092977335906583
RIF1,C1,243,8449,0.07837168872356415,3.4136778542806457e-06,0.0021092977335906583
DCDC1,C1,360,8332,0.06890498474240303,3.45825713682817e-06,0.0021245623844734717
PLEC,C10,469,8223,0.07015141099691391,3.516348446657351e-06,0.002147906191736481
FLNC,C1,421,8271,0.07231707125902176,3.6107739893436813e-06,0.0021911416534493833
VPS13A,C1,313,8379,0.07125495374202728,3.6657299751839407e-06,0.0021911416534493833
CSMD3,C10,1193,7499,0.05111279711127281,3.666511968719475e-06,0.0021911416534493833
ABCC4,C1,181,8511,0.1005290150642395,3.6691209770939943e-06,0.0021911416534493833
XPO5,C1,108,8584,0.10534196719527245,3.938374692260914e-06,0.002338869450577348
FHOD3,C1,217,8475,0.06994647532701492,4.137664642340264e-06,0.0024306365446709415
ABCA13,C2,643,8049,0.03398740291595459,4.138376095738955e-06,0.0024306365446709415
NCOR2,C1,302,8390,0.06581756472587585,4.26903780533434e-06,0.002477997060968011
FGFR3,C10,158,8534,0.11145993322134018,4.282215941064664e-06,0.002477997060968011
SP8,C1,38,8654,0.22370894998311996,4.290449801242978e-06,0.002477997060968011
DPYSL5,C1,128,8564,0.10027758777141571,4.3117371402115145e-06,0.002477997060968011
ZNF248,C1,96,8596,0.1094551719725132,4.533236443842267e-06,0.0025890842267073683
MSL2,C1,72,8620,0.12719475850462914,4.574846073724016e-06,0.0025890842267073683
GRM1,C1,293,8399,0.08367899060249329,4.577691577305911e-06,0.0025890842267073683
B3GALTL,C1,68,8624,0.12960801646113396,4.66136394080664e-06,0.002602618890750965
HERC1,C1,389,8303,0.07439741492271423,4.6755333323467556e-06,0.002602618890750965
CELSR3,C2,309,8383,0.043345265090465546,4.6856260086577854e-06,0.002602618890750965
TRIOBP,C1,311,8381,0.07516420260071754,4.745294279100333e-06,0.002602618890750965
DAAM2,C1,161,8531,0.0965014398097992,4.7575849045694106e-06,0.002602618890750965
HPS3,C1,119,8573,0.10112258046865463,4.772033968009287e-06,0.002602618890750965
HCFC2,C1,119,8573,0.1331276148557663,4.793879381712049e-06,0.002602618890750965
SLC8A1,C1,262,8430,0.07639195770025253,4.79639950492011e-06,0.002602618890750965
ZNF516,C1,152,8540,0.09963787719607353,4.829795215639019e-06,0.0026044164828728776
TLE4,C1,147,8545,0.12086383998394012,4.869397293158597e-06,0.0026044164828728776
CUL1,C1,149,8543,0.11227434873580933,4.872804375978292e-06,0.0026044164828728776
PRX,C1,174,8518,0.10318892821669579,4.920054619376982e-06,0.002616587853696128
TRPV2,C2,92,8600,0.05658946558833122,4.979971464856503e-06,0.0026297693082252822
UACA,C1,163,8529,0.07797819375991821,4.994042523291164e-06,0.0026297693082252822
UTP20,C1,265,8427,0.0690767802298069,5.123903679578047e-06,0.0026849255280988965
MBD6,C2,161,8531,0.047916293144226074,5.376740311796915e-06,0.002793126357802927
CDKN2A,C1,385,8307,0.06940707936882973,5.382652575469643e-06,0.002793126357802927
