,C1,C2,C5,C6,C7,C10,cancer_type
TCGA-BL-A3JM-01,-0.25489482283592224,0.07796947658061981,-0.6460046768188477,0.3932993710041046,0.7773293256759644,-0.4169733226299286,BLCA
TCGA-BL-A5ZZ-01,-0.42999958992004395,-0.17156073451042175,-0.8498744964599609,0.5403655767440796,0.03269320726394653,-0.7286550402641296,BLCA
TCGA-BT-A0S7-01,-0.27183371782302856,-0.07303887605667114,-0.20249277353286743,0.6786421537399292,0.39816513657569885,-0.1992781013250351,BLCA
TCGA-BT-A0YX-01,0.06337437033653259,-0.0060263872146606445,0.4431476891040802,-0.3182275891304016,-0.30760425329208374,0.016605094075202942,BLCA
TCGA-BT-A20J-01,-0.35883915424346924,0.252856582403183,0.212824285030365,-0.061031945049762726,0.16826950013637543,-0.3289966285228729,BLCA
TCGA-BT-A20N-01,0.20959560573101044,-0.19673126935958862,-0.18969425559043884,-0.11715905368328094,-0.10633584856987,-0.12297549843788147,BLCA
TCGA-BT-A20N-11,-0.814637303352356,-0.3956940770149231,-0.7090482115745544,0.8826667666435242,0.3165867328643799,-1.0348525047302246,BLCA
TCGA-BT-A20O-01,-0.42350488901138306,-0.37170135974884033,-0.5929452180862427,0.774684488773346,-0.10735172778367996,-0.7757632732391357,BLCA
TCGA-BT-A20P-01,-0.10134483873844147,0.1272013932466507,0.07290257513523102,0.03558279201388359,0.06264864653348923,0.008440649136900902,BLCA
TCGA-BT-A20Q-01,-0.04772843420505524,-0.09087900817394257,-0.22820830345153809,0.0897388905286789,-0.2603084444999695,-0.080373115837574,BLCA
TCGA-BT-A20Q-11,-0.8252094388008118,-0.40237897634506226,-0.9066928029060364,0.8819031715393066,0.45574045181274414,-0.6606854200363159,BLCA
TCGA-BT-A20R-01,-0.3869965076446533,0.07578733563423157,-0.125327005982399,0.411997526884079,0.012976467609405518,-0.43807604908943176,BLCA
TCGA-BT-A20R-11,-0.7710118293762207,-0.308100163936615,-0.6884666681289673,1.007502794265747,0.5315353870391846,-1.0892019271850586,BLCA
TCGA-BT-A20T-01,0.023159988224506378,-0.04747186601161957,0.046748749911785126,0.05013565719127655,-0.10869608074426651,0.0027308836579322815,BLCA
TCGA-BT-A20U-01,0.25696757435798645,-0.0887787789106369,0.45981407165527344,-0.3153795301914215,-0.6431261301040649,0.13871963322162628,BLCA
TCGA-BT-A20U-11,0.01963438093662262,-0.08579093217849731,0.4298478364944458,-0.14832374453544617,-0.20621037483215332,0.15904763340950012,BLCA
TCGA-BT-A20V-01,0.05084697902202606,0.09908751398324966,0.40857425332069397,-0.45154869556427,0.25603345036506653,0.24623048305511475,BLCA
TCGA-BT-A20W-01,-0.11544108390808105,0.12365743517875671,-0.12712135910987854,0.027881115674972534,0.1943914294242859,-0.11055079102516174,BLCA
TCGA-BT-A20W-11,-0.41761425137519836,0.024156272411346436,0.002275526523590088,0.39594244956970215,-0.04124331474304199,-0.6628086566925049,BLCA
TCGA-BT-A20X-01,0.027669835835695267,0.05878223851323128,-0.20907717943191528,0.19030162692070007,-0.35223066806793213,-0.23321475088596344,BLCA
TCGA-BT-A2LA-01,-1.6813472509384155,0.4289900064468384,-1.056033968925476,0.9684017896652222,1.6492623090744019,-1.5860037803649902,BLCA
TCGA-BT-A2LA-11,-0.10057494044303894,0.0040403008460998535,0.2468811720609665,0.05355024337768555,-0.05290093272924423,-0.1260320544242859,BLCA
TCGA-BT-A2LB-01,0.16444560885429382,0.025623634457588196,0.13047447800636292,-0.12522798776626587,-0.30982524156570435,0.11781632900238037,BLCA
TCGA-BT-A2LB-11,-0.02720433473587036,0.10815322399139404,0.47386622428894043,0.01995617151260376,0.03579673171043396,0.18107810616493225,BLCA
TCGA-BT-A2LD-01,-0.0824100449681282,-0.06209927424788475,-0.08365362882614136,0.08719192445278168,0.1877223551273346,-0.11077311635017395,BLCA
TCGA-BT-A3PH-01,0.16797824203968048,0.1356356143951416,0.1557290107011795,-0.2918829917907715,0.0847688615322113,0.4878295361995697,BLCA
TCGA-BT-A3PJ-01,0.36966803669929504,0.09606598317623138,-0.09971307218074799,-0.08459827303886414,-0.25648272037506104,-0.2765435576438904,BLCA
TCGA-BT-A3PK-01,0.2349528670310974,-0.06886915862560272,-0.08293259143829346,-0.0594196617603302,-0.0996788740158081,0.07860136032104492,BLCA
TCGA-BT-A42C-01,0.10246924310922623,0.1499083936214447,0.21205884218215942,0.017362920567393303,0.02860797941684723,0.1550641655921936,BLCA
TCGA-BT-A42E-01,0.2812705338001251,-0.017039857804775238,-0.07726886868476868,-0.29842644929885864,0.004674713127315044,0.044132888317108154,BLCA
TCGA-BT-A42F-01,0.30786585807800293,-0.02396809309720993,0.25532370805740356,-0.24216125905513763,0.027754291892051697,0.008214578032493591,BLCA
TCGA-C4-A0EZ-01,-1.2477738857269287,0.36772939562797546,-0.6908794641494751,0.6784310936927795,1.4387104511260986,-0.5256796479225159,BLCA
TCGA-C4-A0F0-01,0.06426042318344116,-0.14176726341247559,-0.189752995967865,0.31028321385383606,-0.14790654182434082,-0.667627215385437,BLCA
TCGA-C4-A0F1-01,-0.12954562902450562,0.3362468183040619,-0.055015552788972855,0.3581262230873108,-0.49000832438468933,-0.4509715437889099,BLCA
TCGA-C4-A0F6-01,0.15187186002731323,-0.003661110997200012,0.021770983934402466,-0.11062562465667725,-0.06064584106206894,-0.16842956840991974,BLCA
TCGA-C4-A0F7-01,-0.1769777238368988,-0.23949338495731354,0.047386981546878815,-0.07521389424800873,0.3335459232330322,-0.3065192699432373,BLCA
TCGA-CF-A1HR-01,0.17792731523513794,0.05810605362057686,0.35986268520355225,-0.18620827794075012,-0.14260834455490112,0.29242220520973206,BLCA
TCGA-CF-A1HS-01,-0.0006718412041664124,0.022935204207897186,0.0806957259774208,-0.10750159621238708,0.09180952608585358,-0.15198546648025513,BLCA
