gene_symbol,ensembl_id,ctrl_mean_expr,var_total,var_residual,var_interaction,noise,interaction_fraction,additive_fraction,reproducibility
ITPR2-AS1,ENSG00000256234,0.6878598,0.27758557,0.25686345,0.026364183,0.23049927,0.09497678,0.07465129,0.10263891
PRR36,ENSG00000183248,0.6781275,0.2398715,0.21236542,0.026360407,0.18600501,0.109893866,0.114670075,0.12412759
COL5A2,ENSG00000204262,1.5463328,0.15175943,0.12870948,0.026348928,0.102360554,0.173623,0.1518848,0.2047163
ENSG00000267051,ENSG00000267051,0.1779957,0.12274306,0.122314066,0.02633576,0.095978305,0.21456006,0.0034950813,0.2153126
COL17A1,ENSG00000065618,1.1001297,0.2815044,0.26130277,0.026318213,0.23498456,0.09349131,0.07176308,0.10071923
SYTL5,ENSG00000147041,0.63124055,0.26554707,0.24489589,0.026314022,0.21858187,0.09909362,0.07776842,0.10744983
LINC01695,ENSG00000236532,0.7784499,0.26718667,0.26376405,0.026311688,0.23745236,0.0984768,0.012809838,0.09975464
SMOC2,ENSG00000112562,0.636601,0.32061103,0.31325284,0.02629515,0.28695768,0.08201574,0.022950532,0.08394226
TNFAIP6,ENSG00000123610,0.63894445,0.32158163,0.2990634,0.026294377,0.27276903,0.08176579,0.070023336,0.08792241
CASC8,ENSG00000246228,0.714432,0.24636126,0.24169964,0.02628004,0.21541959,0.10667278,0.018921886,0.10873016
ENSG00000279806,ENSG00000279806,0.53928757,0.22125971,0.20490314,0.02627847,0.17862467,0.11876753,0.073924765,0.12824826
IFIT3,ENSG00000119917,1.658318,0.1644648,0.10484513,0.026267512,0.078577615,0.1597151,0.3625072,0.25053632
ENSG00000283445,ENSG00000283445,0.524246,0.22177698,0.21479839,0.026247907,0.18855049,0.11835272,0.031466685,0.122197874
PCDH7,ENSG00000169851,1.5048052,0.13269274,0.11282911,0.026246026,0.086583085,0.1977955,0.14969642,0.2326175
FGFBP1,ENSG00000137440,0.43047625,0.19452056,0.19227752,0.026225602,0.16605192,0.13482174,0.01153113,0.13639453
