drug,n_targets,n_lines,rho,null_mean,z,moa-fine
BI-3406,2,48,0.10421189752496743,0.020826096396005214,0.6553886740758831,RAS inhibitor
Balsalazide (sodium hydrate),2,48,0.05167173252279635,0.011308619192357797,0.2696152753265793,JAK/STAT inhibitor
Belinostat,1,48,-0.10149804602692139,0.03306828050369084,-1.0703252121085844,HDAC inhibitor
Belumosudil,2,48,0.07338254450716457,0.030669235779418148,0.31149852757658025,unclear
Belumosudil (mesylate),2,48,-0.014112027789839337,-0.02112733391228832,0.05375963177820293,unclear
Belzutifan,1,48,-0.2317629179331307,0.0032430525401649993,-1.3432321860691525,unclear
Benproperine (phosphate),1,48,-0.006838905775075988,0.053416739036039954,-0.38290557804085706,unclear
Bentamapimod,3,48,0.27399044724272686,-0.01063015631784629,1.6408249269847235,Other MAPK inhibitor
Berbamine,1,48,0.03473729917498915,-0.01797926617455493,0.312111525770433,unclear
Bestatin,1,48,0.06350412505427702,0.030047763786365606,0.2196172068612311,unclear
Betamethasone dipropionate,1,48,0.093573599652627,-0.006754776378636561,0.6418808589809152,Glucocorticoid receptor agonist
Bexarotene,3,48,-0.02344767694311767,-0.09519105514546242,0.5091653949188368,Retinoic receptor agonist
Bicalutamide,1,48,-0.013677811550151976,-0.007188992618323925,-0.04243764535371419,Androgen receptor antagonist
Bimiralisib,3,48,-0.10399478940512374,0.007123860182370828,-0.6902805660069044,PI3K/AKT inhibitor
Binimetinib,2,48,0.055471124620060784,0.050559053408597475,0.0339307558100259,MEK inhibitor
Bisoprolol (hemifumarate),1,47,-0.05400092506938021,0.00010529697309849054,-0.2910952679486725,Adrenoceptor agonist
Bortezomib,1,48,0.034085974815458095,-0.018731003039513684,0.31436051127028075,Proteasome inhibitor
Bosentan (hydrate),2,48,0.14231437255753362,-0.0136615284411637,1.1121742675312518,unclear
Brimonidine,3,48,0.0784845853234911,-0.11930633955709942,1.2874325361825338,Adrenoceptor agonist
Budesonide,1,48,0.3815675206252714,0.045419018671298314,1.7763011169655545,Glucocorticoid receptor agonist
CP21R7,2,48,-0.09791576204950066,0.01070071645679549,-0.8108036962801652,GSK3 inhibitor
Cabozantinib (S-malate),3,48,-0.23122014763352147,-0.058133412939643934,-1.000083072633082,Multi-TK inhibitor
Canagliflozin,1,48,0.03332609639600521,-0.07122243788510856,0.5186963185649663,Glucose transporter inhibitor
Canagliflozin (hemihydrate),1,48,-0.026921406860616587,-0.062475686478740355,0.20335015945434018,Glucose transporter inhibitor
Capivasertib,7,48,0.2921189752496743,-0.028278332609639606,1.8561571442664886,PI3K/AKT inhibitor
Capmatinib,1,48,-0.48643074250976986,0.027040816326530614,-3.0597694013238113,EGFR/ERBB inhibitor
Captopril,1,48,-0.21971341728180632,-0.005821211463308726,-1.7013469816870848,unclear
Carbidopa (monohydrate),1,48,0.056556665219279205,0.05418475900998696,0.015852957926161065,unclear
Celecoxib,1,48,-0.0026052974381241857,0.04080275727312202,-0.20677039179940623,Cyclooxygenase inhibitor
Cepharanthine,3,48,0.04928354320451585,-0.06121092053842814,0.7447512468271943,unclear
Cilostazol,1,48,0.3168693009118541,0.0456198436821537,1.5582236762914488,unclear
Cinacalcet,1,48,-0.30254016500217107,-0.04856105867542414,-1.5487850937061627,unclear
Citalopram (hydrobromide),1,48,0.26953973078593135,-0.00575466999218141,1.796357641668463,unclear
Clobetasol propionate,2,47,-0.06579555966697503,-0.04638066604995375,-0.1040670939273561,unclear
Clonidine (hydrochloride),3,48,-0.04874077290490664,-0.15751465479808946,0.8645726303266325,Adrenoceptor agonist
Clopidogrel,1,48,0.21200607902735563,-0.08736097365557238,1.7951362107865758,unclear
Clotrimazole,2,48,-0.1881241858445506,-0.14799446374294398,-0.3164359712271496,unclear
Cobimetinib,1,47,0.01017576318223867,0.061574930619796485,-0.35813616976330676,MEK inhibitor
Crizotinib (hydrochloride),3,48,-0.01801997394702562,0.012315458098132873,-0.2217666115047789,Multi-TK inhibitor
