drug,cdi,moa,n_targets,target_mut_freq,target_expr_var,target_expr_mean
Rucaparib (phosphate),0.0588436482505252,,3,0.0,0.046793581845154,3.974971869953975
Benproperine (phosphate),0.0588135604217857,,1,0.0,0.008967747967585489,4.722272317514978
Erdafitinib,0.0586287730169181,,4,0.02,0.4008310039439169,3.5359075298986733
Verapamil,0.0507437476728924,,2,0.0,0.2097516433898122,2.1470597138635603
Levobupivacaine (hydrochloride),0.049672160910579,,1,0.0,0.3120960251371068,3.2630903592888605
(S)-Crizotinib,0.047082221366997,,1,0.0,0.5577555581636172,3.448915269807711
Tolmetin,0.0460053645262414,,2,0.0,0.31638818919110934,3.6003058728616613
Tranilast,0.0393134621239403,,2,0.0,0.26252449637520137,3.607528758050961
Sildenafil,0.036827139205429,,1,0.0,0.05862154417226777,4.017748400845158
Methylprednisolone succinate,0.0363278100394871,,1,0.0,0.0948668203865954,4.5468175314673065
Quinidine (15% dihydroquinidine),0.0352328306260671,,1,0.0,1.1225333131013726,2.2468284833073957
Sonidegib,0.0348761047196401,,1,0.0,0.4966865916387033,3.2329304604706453
Hydroxyfasudil,0.0245576168721448,,3,0.0,0.015672471140627205,4.442874294070656
Sivelestat (sodium tetrahydrate),0.0227547687295193,,1,0.0,1.015619656829656,1.5985912550679806
Ralimetinib dimesylate,0.0172928441473239,,3,0.0,0.15427241412850282,3.9531651388648332
Macitentan,0.017130375910125,,2,0.0,0.7044828817813176,2.410371618113935
PF-06260933,0.0093128183777527,,1,0.0,0.020928664317105366,4.737115902568887
Irinotecan (hydrochloride),0.0,,1,0.0,0.010973134824705163,4.7410385367501195
Daidzin,0.0,,1,0.0,0.09536755432017469,4.053131303642095
Flumatinib (mesylate),0.0,,1,0.04,0.014003782330415174,4.572441967571391
Afatinib,0.0,,2,0.07,0.04934680323550705,4.429522107752083
Naproxen,0.0,,2,0.0,0.31638818919110934,3.6003058728616613
Pravastatin (sodium),0.0,,1,0.0,0.012818975997633065,4.3281645810423415
Regorafenib,0.0,,9,0.024444444444444446,0.5300790901293839,2.846163849911145
Berbamine,0.0,,1,0.0,0.1784954123280333,3.8224061152865185
Belumosudil,0.0,,2,0.0,0.013662154498562111,4.683267474413933
Almonertinib (mesylate),0.0,,1,0.08,0.03938794441741245,4.73702816613291
Topotecan (hydrochloride),0.0,,1,0.0,0.010973134824705163,4.7410385367501195
