perturbation,n_contexts,n_pairs,shared,context_specific,index,estimable,pert_iname,key,moa-fine
BRD-K78431006,15,6075,0.3609055380362111,0.10446482891143097,0.22447675299270634,True,crizotinib,crizotinib,ALK tyrosine kinase receptor inhibitor
BRD-K72420232,22,2385,0.15851470437237766,0.04571050360641236,0.22382400321100254,True,WZ-4002,wz4002,EGFR inhibitor
BRD-K73368362,22,2412,0.10822113814737658,0.031034820757889776,0.22286170733277044,True,BIX-02189,bix02189,MEK inhibitor
BRD-K76908866,15,6632,0.10011184134736754,0.027248055083996636,0.21394533010382075,True,CP-724714,cp724714,EGFR inhibitor|protein tyrosine kinase inhibitor
BRD-K87909389,18,6906,2.2030997124606957,0.5896348552822381,0.21113172089203464,True,alvocidib,alvocidib,CDK inhibitor
BRD-K17588104,19,2388,0.100629585561618,0.026668470595529715,0.2094962908357992,True,JQ1-(-),jq1,bromodomain inhibitor
BRD-A18328003,13,3982,0.7514720758971046,0.1959424203805789,0.20681805181409102,True,GDC-0980,gdc0980,mTOR inhibitor|PI3K inhibitor
BRD-K63068307,15,5106,0.29453095435592286,0.07644962304637919,0.20607446239287888,True,ZSTK-474,zstk474,PI3K inhibitor
BRD-K01567962,19,2461,0.12111767805987896,0.03019619001671769,0.19955996367386544,True,pyrazolanthrone,pyrazolanthrone,JNK inhibitor
BRD-K47029922,19,2484,0.08503432944417,0.02092613079707221,0.19748999531928502,True,tranylcypromine,tranylcypromine,monoamine oxidase inhibitor
BRD-U22633929,15,4145,0.20407944136857986,0.048323348775303414,0.19145330662849044,True,XMD11-85H,xmd1185h,
BRD-K88378636,15,18740,0.5294584254477258,0.12448085738182739,0.19035537495653532,True,withaferin-a,withaferina,
BRD-K99749624,17,7589,0.26626221246777043,0.06257997490083886,0.1903039734700799,True,linifanib,linifanib,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
BRD-K01436366,15,5178,0.2819194891546146,0.06550995236832734,0.18855613410644556,True,XMD-1150,xmd1150,
BRD-U41416256,15,5202,0.08012574615417052,0.018600774699401346,0.18840707176331517,True,THZ-2-98-01,thz29801,
BRD-K68548958,19,2778,0.231666266159142,0.0535728145132518,0.18781723173053516,True,BRD-K68548958,brdk68548958,
BRD-K92571446,13,2598,2.974757045927182,0.6872555908329006,0.18767155086634021,True,WZ-3105,wz3105,
BRD-K48488978,13,4016,0.1926075447558308,0.044253898968189063,0.18683454036424638,True,YM-201636,ym201636,PI3K inhibitor
BRD-K89391146,19,2460,0.10001544123671574,0.022825830412922757,0.18581564735039055,True,RG-108,rg108,DNA methyltransferase inhibitor
BRD-U64521890,13,4051,0.5171080110975873,0.11706194646559208,0.18459081050670828,True,XMD-16144,xmd16144,
BRD-K20696416,13,3952,0.2046887783174318,0.04568104004937989,0.1824542604510482,True,NVP-AEW541,nvpaew541,IGF-1 inhibitor
