cell_name,Bladder,Kidney,Large_Intestine,Liver,Lung,Mammary,Neural,Ovary,Pancreas,Skin,Stomach,Uterus
NCI-H1573,0.7518802586097909,-2.052749764353329,0.35737680953050927,-0.9271116273925932,0.42927543313160077,0.5743740181165434,-1.03036211309599,-0.6306734850380765,-1.1428066653423832,-0.20373379473539474,0.46894418426507783,0.4314184014607194
SW 1271,-0.7731641580475873,1.1232580865446655,-0.5319168700917878,-0.7992201359891338,-0.3686813584822835,-0.4131001266949422,0.16057981362759818,-0.4650499905529111,-0.46243140717636805,-0.5541693174036194,-0.4060778023831156,-0.3849086581135079
NCI-H2030,-0.6016653093300199,-0.09371543630997345,-0.5765856880278201,-0.6214429177967595,0.005182414700168274,0.29525547186195755,-0.2862706927202433,-0.4930207215186996,-0.997148213639795,-0.7464859062379839,-0.19929511654037563,-0.007692365787188713
A549,-0.4129051766893716,-0.1390510465023069,-0.4539267267133695,-0.8225009673795647,-0.3424383400099198,-0.14797267756749885,-0.757915514813459,-1.199281935817191,-1.3319271526578251,-1.3039572804368948,-0.14138681432631325,0.02676002565746348
A-427,-0.5044689185679112,0.3296079815026916,-0.4319315057702518,-0.7755036626208931,0.3141381016672519,-0.18772255483116562,1.7621107914654146,0.6799905664308352,-0.5430039091151707,-0.3723908821111812,0.013669718402206356,-0.12260643766003045
SW 900,-0.6329039348622292,-0.3109335945730958,-0.6201931608517758,-0.9210121159914025,-0.26024619960024814,-0.5042647957370666,-0.3444114531224814,-0.6604928030268422,-0.8392812605337507,-0.899849111892017,-0.42983182606189085,-0.10937912515231157
NCI-H460,-1.232153570382765,-0.6142366355341614,-1.2647267537995859,-1.2476408298910857,-0.9961090233476017,-1.3953566100847559,0.20685251516049888,-1.1214143879051175,-1.071906670597656,-1.595511736118418,-0.8254492222740648,-1.1486933386033404
CFPAC-1,0.41609443149063663,-2.3049078397752445,-0.08839264876085198,-0.3894988422925035,0.12452207112997844,0.24987218459021035,-1.6884537205629357,-1.0256969095911699,-1.345280924197787,-0.5963028405632569,0.2221428832943365,0.5828554303028133
PANC-1,-0.20489051899691457,1.1405612368273863,-0.27028378900743294,-0.4523350945188372,0.29939566935337464,0.6637643272088529,0.1893525291511363,0.4802576201943666,-0.36906319642486174,0.20487613252716988,0.15012655538840014,0.10328804458396194
MIA PaCa-2,-0.22828140829782187,0.591667471185978,-0.29910942901759396,-0.994963018707349,0.07776147752384989,0.6912576345446493,0.3414244674624986,0.4354746116418939,-1.1102244833561108,1.0431659908850788,0.045325348227963524,0.20172087972595637
Panc 03.27,1.269371462892787,-0.19901160685653366,0.6078903329249088,0.8787515103892561,1.3004373428513822,1.2778874310880128,-1.0796753524510072,0.9513591171438898,0.6931130856890918,0.6109661037793654,0.8407821067310425,1.3922628914941881
Hs 766T,-0.1642221108207062,1.4836821136119753,-0.5836883877665268,-1.5038551834369995,0.3682710931926036,-0.07825456081844383,-0.3577530000319227,-0.7600630823616034,-2.293643413638413,0.14626986222068575,-0.23697202650281982,-0.49299501330575934
AsPC-1,1.1626981398226148,-0.6250251156129257,0.8968033070739071,-0.628745251349314,0.33641354849971905,0.8867669102970533,-0.38779500528984795,-0.4550215771137196,-1.3623971533316914,0.4694127241716232,0.7672679811649699,0.7180281505918135
hTERT-HPNE,-0.3496153407385881,-0.29344657240482713,-0.20772955323586592,1.851647239971485,-0.2065021162663668,0.07099142950783688,-0.33995320758819264,0.10349158906317703,1.9149801683334022,1.0935871907986883,-0.7115416281063298,-0.35085527149587686
CHP-212,-0.18645854110015508,1.0014965038477674,-0.4557533831106272,1.6779443756945118,-0.6003927577852044,-1.4909947600474285,1.6751518163873593,0.87512201364772,1.799525488812051,-1.4971990392729537,-1.1650686821828886,-0.5376090188195217
LOX-IMVI,-0.5700544539066551,0.5619353534992141,-0.9251608030310011,-0.16929679844395748,-1.0249952555043704,-0.5409442364485363,0.32605628673322207,-0.1530791064791031,0.11209873952570447,-0.8021516274093532,-0.9961393541023608,-1.2399103183001128
C32,-0.8774787041798606,0.3668551683729042,-1.241137562682647,-0.43967693060900964,-1.8451740427709182,-2.062771743288136,0.5871882110606086,-1.550197149851115,0.5298572246985559,-0.6468102411407185,-1.4894541509272625,-2.491851594031502
RPMI-7951,-0.6930721485537799,-0.35064052631022014,-0.5274538350184875,0.19081710639144375,-0.8667454825077763,-0.19916811648075952,-0.22972561176012252,-0.28687035849505294,1.1763200288381743,0.7259569834512303,-1.0158565118023641,-0.5796729826893854
SK-MEL-2,-0.9554214841680698,0.9112764460768652,-0.871362667721069,-0.8476871123255096,-1.1653243696644877,-1.4634249631020249,0.8821537528046552,-0.9172966137047862,-0.38675921231394794,0.760263853346333,-0.9623188013357099,-1.3485617817788262
HEC-1-A,0.4885239993923289,0.5670551207775222,0.36327361871253294,1.263888723508829,0.909817035073155,0.6112489361592329,-0.0661329663427254,0.9635361033077277,1.5362611284453311,-0.5250364482351951,0.7229724375013746,1.234974627819201
AN3 CA,-0.14060544235230332,2.0499811718008933,-0.30254502029152575,1.0176976786886645,0.0375841912188247,-0.11826644242023968,1.5333539877793259,1.4983555992392437,0.29960934618627144,0.3982964571601485,0.03226980525515347,0.06172850924115594
